id,name,associated groups,url,first_seen,last_seen
G0010,Turla,"BELUGASTURGEON, Group 88, IRON HUNTER, Krypton, Secret Blizzard, Snake, Venomous Bear, Waterbug, WhiteBear",https://attack.mitre.org/groups/G0010,2017-05-31,2024-04-17
G0123,Volatile Cedar,Lebanese Cedar,https://attack.mitre.org/groups/G0123,2021-02-08,2022-04-20
G1017,Volt Typhoon,BRONZE SILHOUETTE,https://attack.mitre.org/groups/G1017,2023-07-27,2024-03-28
G0107,Whitefly,,https://attack.mitre.org/groups/G0107,2020-05-26,2024-04-10
G0124,Windigo,,https://attack.mitre.org/groups/G0124,2021-02-10,2021-04-26
G0112,Windshift,Bahamut,https://attack.mitre.org/groups/G0112,2020-06-25,2021-04-26
G0044,Winnti Group,Blackfly,https://attack.mitre.org/groups/G0044,2017-05-31,2023-03-20
G0090,WIRTE,,https://attack.mitre.org/groups/G0090,2019-05-24,2022-04-15
G0102,Wizard Spider,"DEV-0193, FIN12, GOLD BLACKBURN, Grim Spider, ITG23, Periwinkle Tempest, TEMP.MixMaster, UNC1878",https://attack.mitre.org/groups/G0102,2020-05-12,2024-04-03
G0128,ZIRCONIUM,"APT31, Violet Typhoon",https://attack.mitre.org/groups/G0128,2021-03-24,2024-01-08
