,ttp,total_cwes,mitigated_cwes,unmitigated_cwes,mitigation_ratio
69,T1204.001,29,"['CWE-79', 'CWE-74', 'CWE-79', 'CWE-22', 'CWE-352', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-787', 'CWE-352', 'CWE-79', 'CWE-79', 'CWE-352', 'CWE-79', 'CWE-416', 'CWE-352', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-352', 'CWE-79', 'CWE-20']",['CWE-264'],0.9655172413793104
70,T1204.001.,1,['CWE-352'],[],1.0
71,T1204.002,68,"['CWE-22', 'CWE-787', 'CWE-122', 'CWE-125', 'CWE-20', 'CWE-787', 'CWE-22', 'CWE-20', 'CWE-787', 'CWE-787', 'CWE-787', 'CWE-787', 'CWE-200', 'CWE-119', 'CWE-79', 'CWE-352', 'CWE-119', 'CWE-123', 'CWE-22', 'CWE-787', 'CWE-787', 'CWE-416', 'CWE-787', 'CWE-79', 'CWE-415', 'CWE-22', 'CWE-119', 'CWE-416', 'CWE-119', 'CWE-119', 'CWE-119', 'CWE-119', 'CWE-284', 'CWE-426', 'CWE-119', 'CWE-94', 'CWE-200', 'CWE-119', 'CWE-119', 'CWE-78', 'CWE-20', 'CWE-94', 'CWE-119', 'CWE-94']","['NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-824', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-Other', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-19', 'CWE-264', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-189', 'CWE-189', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-399']",0.6470588235294118
72,T1210,8,"['CWE-908', 'CWE-20', 'CWE-120', 'CWE-22', 'CWE-20', 'CWE-94']","['CWE-918', 'CWE-281']",0.75
73,T1211,20,"['CWE-89', 'CWE-125', 'CWE-125', 'CWE-494', 'CWE-20', 'CWE-20', 'CWE-416', 'CWE-20', 'CWE-200', 'CWE-178', 'CWE-295', 'CWE-552', 'CWE-287', 'CWE-79', 'CWE-20', 'CWE-22', 'CWE-119']","['NVD-CWE-noinfo', 'CWE-706', 'NVD-CWE-noinfo']",0.85
74,T1212,7,"['CWE-22', 'CWE-22', 'CWE-617', 'CWE-200', 'CWE-22', 'CWE-200']",['NVD-CWE-noinfo'],0.8571428571428571
75,T1213,2,['CWE-306'],['NVD-CWE-Other'],0.5
76,T1404,3,"['CWE-787', 'CWE-416']",['CWE-17'],0.6666666666666666
77,T1409,1,['CWE-311'],[],1.0
78,T1456,1,['CWE-200'],[],1.0
79,T1461,1,[],['CWE-922'],0.0
80,T1477,4,"['CWE-119', 'CWE-862', 'CWE-306']",['NVD-CWE-Other'],0.75
81,T1478,6,"['CWE-269', 'CWE-552', 'CWE-79', 'CWE-79', 'CWE-494', 'CWE-79']",[],1.0
82,T1478 ,1,[],['NVD-CWE-Other'],0.0
83,T1480,1,[],['NVD-CWE-Other'],0.0
84,T1485,24,"['CWE-787', 'CWE-787', 'CWE-79', 'CWE-59', 'CWE-79', 'CWE-787', 'CWE-20', 'CWE-59', 'CWE-178', 'CWE-787', 'CWE-787', 'CWE-79', 'CWE-787', 'CWE-416', 'CWE-287']","['NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo']",0.625
85,T1489,5,"['CWE-20', 'CWE-20', 'CWE-295', 'CWE-125']",['NVD-CWE-Other'],0.8
86,T1491,3,"['CWE-79', 'CWE-434', 'CWE-94']",[],1.0
87,T1491.002,1,[],['NVD-CWE-noinfo'],0.0
88,T1496,2,[],"['CWE-757', 'NVD-CWE-noinfo']",0.0
89,T1497,7,"['CWE-863', 'CWE-502', 'CWE-20', 'CWE-79']","['NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo']",0.5714285714285714
90,T1499,20,"['CWE-400', 'CWE-400', 'CWE-190', 'CWE-787', 'CWE-119', 'CWE-787', 'CWE-193', 'CWE-400', 'CWE-400', 'CWE-770', 'CWE-400', 'CWE-20', 'CWE-362', 'CWE-131', 'CWE-416', 'CWE-119', 'CWE-20']","['CWE-843', 'NVD-CWE-Other', 'CWE-835']",0.85
91,T1499.001,1,['CWE-401'],[],1.0
92,T1499.002,1,['CWE-770'],[],1.0
93,T1499.003,1,['CWE-400'],[],1.0
